Seleziona,Data,Mese,Anno,Categoria,Importo Lordo,Note
False,17/12/2024,Gennaio,2024,Affitto,0.0,
False,17/12/2024,Gennaio,2024,Spesa Alimentare,279.72,
False,17/12/2024,Gennaio,2024,Manutenzione Casa,0.0,
False,17/12/2024,Gennaio,2024,Mutuo,0.0,
False,17/12/2024,Gennaio,2024,SKY,64.89,
False,17/12/2024,Gennaio,2024,versamento scuola,16.0,
False,17/12/2024,Gennaio,2024,Finanziamento,284.45,
False,17/12/2024,Gennaio,2024,Finanziamento,354.09,
False,17/12/2024,Gennaio,2024,Ristoranti e bar,238.4,
False,17/12/2024,Gennaio,2024,Prelievi,250.0,
False,17/12/2024,Febbraio,2024,SKY,73.89,
False,17/12/2024,Febbraio,2024,versamento scuola,500.0,
False,17/12/2024,Febbraio,2024,telefono mobile,17.08,
False,17/12/2024,Febbraio,2024,Finanziamento,284.44,
False,17/12/2024,Febbraio,2024,Finanziamento,354.09,
False,17/12/2024,Febbraio,2024,mutuo,725.51,
False,17/12/2024,Febbraio,2024,Prelievi,400.0,
False,17/12/2024,Febbraio,2024,superenalotto,150.0,
False,17/12/2024,Febbraio,2024,Spesa Alimentare,222.4,
